"order","ID","Condition","Isolate","X997688204.3.Hydroxymandelic.acid..ethyl.ester..di.TMS","X33021022.Propane..1..1.1.dimethylethoxy..2.methyl...peak.2.","X111706.1.Heptanol","X516096.alpha.methyltetronic.acid.D1..peak.1.","X5129384.Pivalic.acid..2.methylpropyl.ester..peak.1.","X1873887.1.1.1.3.5.5.5.Heptamethyltrisiloxane","X997475136.Benzoic.acid..2..2.chlorophenoxy.ethyl.ester","X103480.Isobutyric.acid..phenethyl.ester","X4362190.1.3.Dioxolane..2.phenyl.2..phenylmethyl..","X997064389.1.2.Epoxy.3..2.ethoxy.ethoxypropane","X623632.Carbonic.acid..bis.1.methylpropyl..ester","X7340229.2..2.Carboxyvinyl.pyridine..trans..peak.2.","X329049254.N..2.Furylmethylene.hydrocinnamohydrazide","X133826401.Phenyl.methylphosphonofluoridoate..peak.4.","X112129.2.Undecanone","X62108241.Decane..2.6.6.trimethyl...peak.2.","X122703.Propanoic.acid..2.phenylethyl.ester","X39756304.2.2.3.3.4.4.5.5.6.6.7.7.8.8.9.9.10.10.11.11.12.12.13.13.14.14.15.15.16.16.16.hentriacontadeuteriohexadecanoic.acid..peak.1.","X997442500.Ethyl.3...phenacetyl.amino.propane.1..dithio..oate","X997691369.6..4.Chloro.3..trifluoromethyl.phenyl.amino.2.8.dimethyl.9H.purine..peak.1.","X28009805.di.tert.Butyl.1.3.acetonedicarboxylate","X39756304.2.2.3.3.4.4.5.5.6.6.7.7.8.8.9.9.10.10.11.11.12.12.13.13.14.14.15.15.16.16.16.hentriacontadeuteriohexadecanoic.acid..peak.2.","X997691369.6..4.Chloro.3..trifluoromethyl.phenyl.amino.2.8.dimethyl.9H.purine..peak.2.","X997235523.Cyclohexane.1.methanol..3.3.dimethyl.2..3.methyl.1.3.butadienyl.."
26,"12F","d_SCFA","Trichosporon faecale",4.82811371729963,9.67138082671955,12.0308043757221,10.838447328267,9.82615797349825,7.88932051109479,6.91005263803082,6.10566338943282,6.04175358740115,10.5224659898651,10.7152380988564,6.03483529080579,11.3021798654515,14.359352562758,10.3573797430345,11.782596431892,6.81094146929278,5.67012227316357,13.0904293406253,10.110942681594,10.592834395954,5.01016851850681,12.6048924054749,8.79102985704596
1,"13A","Control","Kluyveromyces marxianus",6.55655105760041,10.1297649881013,13.1233253945174,11.7655474657832,9.89484002017235,9.04302702643509,7.42137200399861,7.17276603839053,6.8263228561016,10.1661915669744,10.673889018269,6.54455192843782,9.69315872824786,8.67656592683178,8.90370447189584,11.4354154431718,7.4827887442172,5.50392811256994,13.7247969233414,10.6125219847148,8.06568938039505,5.40932192459095,13.1667679866896,8.97005574828406
2,"13B","Control","Kluyveromyces marxianus",6.09034788104151,10.1752380131344,12.9608356506204,11.5633105470578,9.64555034915678,8.76149766281544,6.88761889599572,6.91828465007993,6.46822653709818,10.2031450079986,10.6558652070693,6.64163898444492,9.71159887645407,8.69906381322096,9.09005176248967,11.4289556939673,7.57950005328165,5.48717998388537,13.8910709195325,10.5583858575556,7.61637710718024,4.71029567402909,13.5392805133366,8.66795269914222
29,"13C","Control","Kluyveromyces marxianus",5.01949592252845,10.0393296484284,12.9743636035765,11.4281467936373,9.52384259184367,8.06367374834991,6.74972039873913,6.58550936662472,6.31439913327515,10.0007460603889,10.4862802404898,6.19181018974619,10.4569340638437,8.72442522324568,8.58980218351765,10.8995808401727,6.74962669778566,5.80474332596934,13.0977515150536,9.84662588877917,7.51127311320469,4.80455368973796,12.8763692540259,7.98192971427266
17,"13D","d_SCFA","Kluyveromyces marxianus",6.71169173207167,9.25555749375883,13.4455609152222,12.4083996481035,10.3178686283455,8.05753268715708,6.82188688490224,6.77682051220488,6.19712617620568,9.85232609156343,9.94375099109304,6.31437198211104,10.9576369384198,10.2206151319768,9.34174794839884,11.8285142597113,7.18247748396506,5.55908420195869,13.1805719912578,10.293200070863,11.0286161556926,5.13984904577624,12.6349732837486,8.27318855283468
5,"13E","d_SCFA","Kluyveromyces marxianus",5.77476891322269,10.0326935415754,14.2274926609221,12.5798281427319,10.5681053633071,8.49323036246899,6.88327814317498,6.74491865196503,6.51418662659905,10.191249246818,10.4691277287772,6.73485321910464,9.97417711715821,9.64452833431319,8.7746801967529,11.2384968429189,6.98611811492245,5.77944637857719,13.8073062746825,10.3258579574743,9.4792871548242,5.01942984177775,12.9855534505407,8.45261946965913
12,"13F","d_SCFA","Kluyveromyces marxianus",5.52638875609854,9.91755144080187,13.0512504816818,11.4946745251841,9.45259650864081,8.32589587272248,6.71984614068915,6.51646670724159,6.26545329242776,10.2628048773097,10.4639808125232,6.33696731404346,9.9449161630277,11.8347898821716,8.72277544178474,10.933274723503,7.10109919905783,5.67971175198553,13.5066269053379,10.1845004982171,8.91594716347734,4.69770378739102,12.4891698924637,8.11131299717174
21,"14A","Control","Pichia manshurica",6.74850746413869,10.1304631521655,10.2819402552474,10.2863417839042,9.60745370086643,7.83798244603514,6.57795871042301,6.22246713513246,6.24165890389851,10.0715897415921,10.50116046483,6.37784876740335,9.58211114831645,7.99146879677157,8.55600516720163,10.8283390363844,6.8233731697095,5.61655289204327,13.2150673366917,9.96635037359722,7.20132747057382,4.85023177260323,12.8728690488793,7.72505406164934
8,"14B","Control","Pichia manshurica",6.00134061777819,10.2666804831724,10.5697815162053,10.2405394425544,9.4279623071869,8.01638720303249,6.71658872023389,6.33696731404346,6.50993834885509,10.1331380874393,10.6648292192916,6.50591110736381,9.68448603613924,8.17424080389661,8.54671898340421,11.1211301727377,7.51036487277589,5.60615127002316,13.6685986267307,10.2835736542062,7.47677244938922,4.64496765586216,13.412698709348,8.01154912019068
3,"14C","Control","Pichia manshurica",6.12716390050637,10.7974048554334,10.6785197426888,11.6230428836038,11.2122981634313,8.67372930953619,6.9112989926055,6.75764144013713,6.14214492668848,9.98379714766896,10.8614963573323,6.46791609378264,9.96564370684008,8.72470967364473,8.83930132796301,11.8217966663158,7.16981949844063,5.54862851393316,14.0056615305686,10.5181594110151,10.259814585961,4.75904940040052,13.9707084292951,8.78986187484
